,Model A,Model B,Step,Score
237,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.mae,15,0.36103999614715576
238,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.mae,15,0.4962399899959564
239,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,15,0.4811199903488159
240,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,15,0.5791199803352356
241,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,15,0.5387199521064758
242,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,15,0.5210399627685547
243,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,15,0.5745599865913391
244,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,15,0.540160059928894
245,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,15,0.5118400454521179
246,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,15,0.549839973449707
247,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,15,0.5024000406265259
248,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.mae,15,0.32759997248649597
249,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.mae,15,0.4376000463962555
250,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,15,0.43591997027397156
251,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,15,0.511680006980896
252,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,15,0.4936000108718872
253,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,15,0.47624003887176514
254,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,15,0.5339999794960022
255,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,15,0.5112000107765198
256,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,15,0.48791998624801636
257,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,15,0.5450400114059448
258,vit_base_patch16_224.augreg_in21k,vit_base_patch16_224.mae,15,0.33344000577926636
259,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.mae,15,0.4575999975204468
260,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,15,0.45632001757621765
261,vit_base_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,15,0.5571199655532837
262,vit_base_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,15,0.5256800055503845
263,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,15,0.5118399858474731
